Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000254193,44.000,0.237,84244.041,0.004,0.243,0.004,0.004,0.000,0.000
ENSP00000254227,32.000,0.220,44742.601,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000254250,52.000,0.238,180814.538,0.001,0.244,0.001,0.001,0.000,0.000
ENSP00000254286,96.000,0.272,610580.286,0.010,0.281,0.010,0.010,0.000,0.000
ENSP00000254301,24.000,0.213,61.844,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000254322,26.000,0.230,37643.973,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000254325,42.000,0.249,95604.963,0.000,0.254,0.000,0.000,0.000,0.000
ENSP00000254337,24.000,0.243,4904.949,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000254436,34.000,0.247,26203.037,0.000,0.252,0.000,0.000,0.000,0.000
ENSP00000254442,22.000,0.243,2273.070,0.000,0.247,0.000,0.000,0.000,0.000
ENSP00000254480,24.000,0.212,35925.273,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000254488,38.000,0.250,59327.168,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000254508,46.000,0.253,93253.488,0.000,0.259,0.000,0.000,0.000,0.000
